date,year,month,day,weekday
2023/03/02,2023,3,2,3
2023/03/03,2023,3,3,4
2023/03/04,2023,3,4,5
2023/03/05,2023,3,5,6
2023/03/06,2023,3,6,0
2023/03/07,2023,3,7,1
2023/03/08,2023,3,8,2
2023/03/09,2023,3,9,3
2023/03/10,2023,3,10,4
2023/03/11,2023,3,11,5
2023/03/12,2023,3,12,6
2023/03/13,2023,3,13,0
2023/03/14,2023,3,14,1
2023/03/15,2023,3,15,2
2023/03/16,2023,3,16,3
2023/03/17,2023,3,17,4
2023/03/18,2023,3,18,5
2023/03/19,2023,3,19,6
2023/03/20,2023,3,20,0
2023/03/21,2023,3,21,1
2023/03/22,2023,3,22,2
2023/03/23,2023,3,23,3
2023/03/24,2023,3,24,4
2023/03/25,2023,3,25,5
2023/03/26,2023,3,26,6
2023/03/27,2023,3,27,0
2023/03/28,2023,3,28,1
2023/03/29,2023,3,29,2
2023/03/30,2023,3,30,3
2023/03/31,2023,3,31,4
2023/04/01,2023,4,1,5
2023/04/02,2023,4,2,6
2023/04/03,2023,4,3,0
2023/04/04,2023,4,4,1
2023/04/05,2023,4,5,2
2023/04/06,2023,4,6,3
2023/04/07,2023,4,7,4
2023/04/08,2023,4,8,5
2023/04/09,2023,4,9,6
2023/04/10,2023,4,10,0
2023/04/11,2023,4,11,1
2023/04/12,2023,4,12,2
2023/04/13,2023,4,13,3
2023/04/14,2023,4,14,4
2023/04/15,2023,4,15,5
2023/04/16,2023,4,16,6
2023/04/17,2023,4,17,0
2023/04/18,2023,4,18,1
2023/04/19,2023,4,19,2
2023/04/20,2023,4,20,3
2023/04/21,2023,4,21,4
2023/04/22,2023,4,22,5
2023/04/23,2023,4,23,6
2023/04/24,2023,4,24,0
2023/04/25,2023,4,25,1
2023/04/26,2023,4,26,2
2023/04/27,2023,4,27,3
2023/04/28,2023,4,28,4
2023/04/29,2023,4,29,5
2023/04/30,2023,4,30,6
2023/05/01,2023,5,1,0
2023/05/02,2023,5,2,1
2023/05/03,2023,5,3,2
2023/05/04,2023,5,4,3
2023/05/05,2023,5,5,4
2023/05/06,2023,5,6,5
2023/05/07,2023,5,7,6
2023/05/08,2023,5,8,0
2023/05/09,2023,5,9,1
2023/05/10,2023,5,10,2
2023/05/11,2023,5,11,3
2023/05/12,2023,5,12,4
2023/05/13,2023,5,13,5
2023/05/14,2023,5,14,6
2023/05/15,2023,5,15,0
2023/05/16,2023,5,16,1
2023/05/17,2023,5,17,2
2023/05/18,2023,5,18,3
2023/05/19,2023,5,19,4
2023/05/20,2023,5,20,5
2023/05/21,2023,5,21,6
2023/05/22,2023,5,22,0
2023/05/23,2023,5,23,1
2023/05/24,2023,5,24,2
2023/05/25,2023,5,25,3
2023/05/26,2023,5,26,4
2023/05/27,2023,5,27,5
2023/05/28,2023,5,28,6
2023/05/29,2023,5,29,0
2023/05/30,2023,5,30,1
2023/05/31,2023,5,31,2
2023/06/01,2023,6,1,3
2023/06/02,2023,6,2,4
2023/06/03,2023,6,3,5
2023/06/04,2023,6,4,6
2023/06/05,2023,6,5,0
2023/06/06,2023,6,6,1
2023/06/07,2023,6,7,2
2023/06/08,2023,6,8,3
2023/06/09,2023,6,9,4
2023/06/10,2023,6,10,5
2023/06/11,2023,6,11,6
2023/06/12,2023,6,12,0
2023/06/13,2023,6,13,1
2023/06/14,2023,6,14,2
2023/06/15,2023,6,15,3
2023/06/16,2023,6,16,4
2023/06/17,2023,6,17,5
2023/06/18,2023,6,18,6
2023/06/19,2023,6,19,0
2023/06/20,2023,6,20,1
2023/06/21,2023,6,21,2
2023/06/22,2023,6,22,3
2023/06/23,2023,6,23,4
2023/06/24,2023,6,24,5
2023/06/25,2023,6,25,6
2023/06/26,2023,6,26,0
2023/06/27,2023,6,27,1
2023/06/28,2023,6,28,2
2023/06/29,2023,6,29,3
2023/06/30,2023,6,30,4
2023/07/01,2023,7,1,5
2023/07/02,2023,7,2,6
2023/07/03,2023,7,3,0
2023/07/04,2023,7,4,1
